,Unnamed: 0,id,name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,error,popularity
605,605.0,7xK00yfGLNt2dLnYfTRKxq,Sapna Mera Toota,Rahat Fateh Ali Khan,['bollywood'],0.475,0.707,5.0,-5.707,1.0,0.0378,0.706,8.06e-06,0.382,0.742,150.057,audio_features,spotify:track:7xK00yfGLNt2dLnYfTRKxq,https://api.spotify.com/v1/tracks/7xK00yfGLNt2dLnYfTRKxq,https://api.spotify.com/v1/audio-analysis/7xK00yfGLNt2dLnYfTRKxq,350850.0,4.0,,
606,606.0,1PLsTkbs6MDSpIKxwo5lzf,Balle Balle,Sukhbir,['bollywood'],0.689,0.845,0.0,-10.78,0.0,0.0413,0.272,0.461,0.14,0.884,134.987,audio_features,spotify:track:1PLsTkbs6MDSpIKxwo5lzf,https://api.spotify.com/v1/tracks/1PLsTkbs6MDSpIKxwo5lzf,https://api.spotify.com/v1/audio-analysis/1PLsTkbs6MDSpIKxwo5lzf,260089.0,4.0,,
607,607.0,03fRBhA1oXSaYIflr6uZob,MAIN AASHIQ HOON BAHARON KA,Mukesh,['bollywood'],0.341,0.347,5.0,-15.225,1.0,0.043,0.791,0.000228,0.251,0.741,81.618,audio_features,spotify:track:03fRBhA1oXSaYIflr6uZob,https://api.spotify.com/v1/tracks/03fRBhA1oXSaYIflr6uZob,https://api.spotify.com/v1/audio-analysis/03fRBhA1oXSaYIflr6uZob,303960.0,4.0,,
608,608.0,03fRBhA1oXSaYIflr6uZob,MAIN AASHIQ HOON BAHARON KA,Mukesh,['bollywood'],0.341,0.347,5.0,-15.225,1.0,0.043,0.791,0.000228,0.251,0.741,81.618,audio_features,spotify:track:03fRBhA1oXSaYIflr6uZob,https://api.spotify.com/v1/tracks/03fRBhA1oXSaYIflr6uZob,https://api.spotify.com/v1/audio-analysis/03fRBhA1oXSaYIflr6uZob,303960.0,4.0,,
609,609.0,4eKWtXoGajnaGKvKAcgc8f,Dhoom Taana,Shreya Ghoshal,['bollywood'],0.8,0.881,0.0,-6.077,1.0,0.0502,0.127,0.00011,0.0976,0.81,107.998,audio_features,spotify:track:4eKWtXoGajnaGKvKAcgc8f,https://api.spotify.com/v1/tracks/4eKWtXoGajnaGKvKAcgc8f,https://api.spotify.com/v1/audio-analysis/4eKWtXoGajnaGKvKAcgc8f,373357.0,4.0,,
610,610.0,4eKWtXoGajnaGKvKAcgc8f,Dhoom Taana,Shreya Ghoshal,['bollywood'],0.8,0.881,0.0,-6.077,1.0,0.0502,0.127,0.00011,0.0976,0.81,107.998,audio_features,spotify:track:4eKWtXoGajnaGKvKAcgc8f,https://api.spotify.com/v1/tracks/4eKWtXoGajnaGKvKAcgc8f,https://api.spotify.com/v1/audio-analysis/4eKWtXoGajnaGKvKAcgc8f,373357.0,4.0,,
611,611.0,0zQa7QXLpUZfrrsWbgDZll,Beete Lamhein,KK,['bollywood'],0.257,0.583,7.0,-8.185,1.0,0.0429,0.603,0.000289,0.146,0.217,160.127,audio_features,spotify:track:0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/tracks/0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/audio-analysis/0zQa7QXLpUZfrrsWbgDZll,298272.0,4.0,,
612,612.0,0zQa7QXLpUZfrrsWbgDZll,Beete Lamhein,KK,['bollywood'],0.257,0.583,7.0,-8.185,1.0,0.0429,0.603,0.000289,0.146,0.217,160.127,audio_features,spotify:track:0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/tracks/0zQa7QXLpUZfrrsWbgDZll,https://api.spotify.com/v1/audio-analysis/0zQa7QXLpUZfrrsWbgDZll,298272.0,4.0,,
613,613.0,7kVmazLULu2DZvTwajpjAa,Bhabini Emon Din Asbe,Kumar Sanu,['bollywood'],0.598,0.758,8.0,-9.655,1.0,0.0474,0.426,0.0046,0.354,0.948,107.263,audio_features,spotify:track:7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/tracks/7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/audio-analysis/7kVmazLULu2DZvTwajpjAa,243012.0,4.0,,
614,614.0,7kVmazLULu2DZvTwajpjAa,Bhabini Emon Din Asbe,Kumar Sanu,['bollywood'],0.598,0.758,8.0,-9.655,1.0,0.0474,0.426,0.0046,0.354,0.948,107.263,audio_features,spotify:track:7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/tracks/7kVmazLULu2DZvTwajpjAa,https://api.spotify.com/v1/audio-analysis/7kVmazLULu2DZvTwajpjAa,243012.0,4.0,,
