,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
15,0.957,0.0789,134.992,0.0741,0.0431,0.0,0.64,178013,-2.336,0.692,2UREu1Y8CO4jXkbvqAtP7g,Dark
16,0.652,0.108,173.008,0.0625,0.00768,6.42e-05,0.274,288036,-6.196,0.1,3Xfg7AegXaDLoD5GOUMf2e,Dark
17,0.633,0.0804,164.13,0.0682,0.00378,0.0,0.532,236907,-5.106,0.448,4iWYPj04kHXcZK0st5yzZf,Dark
18,0.872,0.318,176.025,0.0392,0.0117,0.0,0.361,172960,-4.312,0.578,7ckZ58Uo6I6nTrMs1SeimI,Dark
19,0.878,0.0771,104.026,0.0326,0.00229,0.000282,0.532,231667,-4.431,0.579,6jg3Om6ZBMKlylforWGPEC,Dark
20,0.823,0.375,129.969,0.0394,0.00187,0.0,0.59,170427,-4.606,0.571,4rBJhbvK48X8aoQbgOD71Y,Dark
21,0.819,0.0832,109.998,0.0485,0.00889,3.51e-06,0.731,222400,-5.978,0.789,50fBaxpXWE8Ul4yjo0Q5O2,Dark
22,0.439,0.122,92.017,0.065,0.135,0.0,0.742,172820,-8.598,0.826,2bfNnO1OpLCxaDR73phdMk,Dark
23,0.132,0.0617,118.758,0.0441,0.949,0.00878,0.46,175630,-17.582,0.33,2GHxtccGrufkQXi3QpQk9z,Dark
24,0.19,0.0536,132.037,0.033,0.944,0.000175,0.49,349135,-15.887,0.0777,7IjGLiUPXv5ZyPvxxnUgcM,Dark
25,0.858,0.102,176.042,0.0729,0.00359,0.0,0.393,228360,-2.868,0.56,04aAxqtGp5pv12UXAg4pkq,Dark
26,0.784,0.668,136.245,0.0627,0.106,0.000108,0.448,186813,-3.686,0.236,4G8gkOterJn0Ywt6uhqbhp,Dark
27,0.868,0.671,108.016,0.0699,0.00131,1.54e-06,0.616,189387,-3.606,0.475,3Te8uLyit6X3ncNW8Fp3K2,Dark
28,0.964,0.579,138.063,0.072,0.000539,1.57e-06,0.562,244960,-2.991,0.41,53AuxddsgPSlqM619nJhSd,Dark
29,0.964,0.579,138.063,0.072,0.000539,1.57e-06,0.562,244960,-2.991,0.41,53AuxddsgPSlqM619nJhSd,Dark
30,0.567,0.0933,90.246,0.0828,0.0584,0.0,0.617,217603,-4.188,0.505,0SuLAslEMFZAXf0SwY7syi,Dark
31,0.803,0.0861,97.967,0.186,0.102,4.15e-06,0.574,208125,-3.17,0.647,2FK1qmw8XNBqUe5CcgTVnE,Dark
32,0.652,0.0931,95.977,0.0802,0.581,0.0,0.825,233713,-3.183,0.931,7qiZfU4dY1lWllzX7mPBI3,Dark
33,0.834,0.14,135.007,0.0989,0.0232,1.14e-05,0.461,261154,-4.868,0.471,6PCUP3dWmTjcTtXY02oFdT,Dark
34,0.127,0.173,182.389,0.217,0.892,0.0,0.48,247839,-15.996,0.324,2WU4ET9r25IVZGQkWOM2UL,Dark
35,0.128,0.0858,123.498,0.0496,0.963,0.0,0.586,276067,-9.297,0.371,0zMzyHAeMvwq5CRstru1Fp,Dark
36,0.407,0.11,139.028,0.0267,0.309,0.000961,0.421,285120,-7.445,0.161,6lanRgr6wXibZr8KgzXxBl,Dark
37,0.348,0.12,74.541,0.0316,0.726,0.0,0.349,246587,-6.142,0.0886,0HZhYMZOcUzZKSFwPOti6m,Dark
38,0.755,0.103,145.319,0.0634,0.11,4.89e-06,0.463,261213,-7.244,0.252,5u0YB9bpmgEPS2bPhwfRFV,Dark
39,0.0485,0.108,137.97,0.038,0.947,0.0,0.41,173175,-13.918,0.247,6yIHGmQLJxWAUZ1ZkENemN,Dark
40,0.58,0.129,119.997,0.0399,0.223,0.0,0.731,199593,-7.328,0.319,2IO7yf562c1zLzpanal1DT,Dark
41,0.939,0.491,159.932,0.0593,0.0425,0.0,0.434,209493,-2.983,0.569,0nkzd3yNniB767zSDDdLZ3,Dark
42,0.943,0.242,94.612,0.0698,0.00721,2.06e-06,0.331,235893,-3.188,0.296,0COqiPhxzoWICwFCS4eZcp,Dark
43,0.724,0.186,127.888,0.0675,0.00876,0.0012,0.254,316813,-6.513,0.123,36ECEkodXYhLPyBHjZCEHh,Dark
44,0.941,0.802,139.68,0.0918,0.00194,0.0,0.402,219920,-3.175,0.176,5nxxe5YhgHKEAD9baPQbLd,Dark
45,0.941,0.802,139.68,0.0918,0.00194,0.0,0.402,219920,-3.175,0.176,5nxxe5YhgHKEAD9baPQbLd,Dark
46,0.467,0.0748,84.922,0.0633,0.406,0.00136,0.698,200896,-8.376,0.501,14fRrLJwF9Ca6n5SXMbs5M,Dark
47,0.713,0.0602,147.959,0.0776,0.0316,0.374,0.494,226427,-7.487,0.257,4vWeIrIQQrbThS11ogLTmu,Dark
48,0.83,0.114,170.094,0.14,0.0807,0.0,0.569,186635,-4.106,0.609,4bPQs0PHn4xbipzdPfn6du,Dark
49,0.602,0.356,134.049,0.0412,0.0529,0.0,0.664,235947,-5.369,0.289,7l94dyN2hX9c6wWcZQuOGJ,Dark
50,0.593,0.0955,69.857,0.0625,0.643,0.000109,0.138,307027,-9.562,0.181,0P4TBgExJNP8CeYzYpvGMt,Dark
51,0.13,0.0987,135.872,0.0357,0.842,0.00155,0.22,311667,-15.086,0.125,4oEL2E7VLBNTqJg8p6YSpn,Dark
52,0.272,0.11,165.87,0.0348,0.32,0.000759,0.137,284800,-10.347,0.16,2qZVVN9arDWwNVS8onFB7k,Dark
53,0.303,0.104,124.949,0.0351,0.862,0.00563,0.567,273000,-12.481,0.252,5zT5cMnMKoyruPj13TQXGx,Dark
54,0.277,0.0966,89.32,0.0323,0.698,0.0,0.389,247347,-10.757,0.125,4JuJZzGcswQszYiKJSnC6i,Dark
55,0.277,0.0966,89.32,0.0323,0.698,0.0,0.389,247347,-10.757,0.125,4JuJZzGcswQszYiKJSnC6i,Dark
56,0.466,0.135,121.741,0.0578,0.39,0.0,0.607,208321,-7.562,0.434,6OG1S805gIrH5nAQbEOPY3,Dark
57,0.482,0.223,91.994,0.351,0.211,0.0,0.77,385438,-9.529,0.441,7qfoq1JFKBUEIvhqOHzuqX,Dark
58,0.404,0.132,80.356,0.0285,0.446,0.0,0.409,259693,-6.517,0.288,4BoTrCdVPZHU4iBC0kcid7,Dark
59,0.78,0.118,124.953,0.102,0.0492,0.0,0.784,204347,-4.275,0.722,5VKSZDsidOFHrtlJb33Syo,Dark
60,0.764,0.115,148.021,0.0366,0.0717,0.0,0.516,224693,-6.223,0.376,1NhPKVLsHhFUHIOZ32QnS2,Dark
61,0.902,0.0558,100.012,0.0346,0.0591,0.000262,0.673,194240,-2.392,0.538,5Hroj5K7vLpIG4FNCRIjbP,Dark
62,0.822,0.0908,160.019,0.183,0.219,0.0,0.647,232720,-4.662,0.962,5b88tNINg4Q4nrRbrCXUmg,Dark
63,0.67,0.0601,119.988,0.0472,0.304,1.22e-06,0.818,235382,-4.451,0.939,6u0oHknFYrnUd42A6rvFly,Dark
64,0.899,0.0902,170.097,0.0846,0.0507,0.0,0.574,218973,-5.75,0.679,2e42fb37LVhtCOescNb1yN,Dark
65,0.595,0.0746,124.334,0.0504,0.8,0.0,0.515,244413,-6.76,0.704,0AmA8MQue1LBuYZSAdBMsj,Dark
66,0.815,0.338,189.773,0.0583,0.218,0.0,0.488,188724,-6.944,0.497,6obm5ubZCFaxTw44EonarI,Dark
67,0.189,0.0867,81.905,0.044,0.947,0.105,0.599,249760,-17.596,0.474,47rtdB1hBH6eRYi3ruUlCG,Dark
68,0.166,0.0959,133.482,0.0378,0.923,0.00282,0.453,317680,-14.365,0.176,16AOZtLZwnm993MAdkt61r,Dark
69,0.687,0.0783,83.176,0.136,0.53,0.0,0.284,191251,-6.731,0.331,1F5m0omiTYMzgsAVSFHNYO,Dark
